num,Cargo,Empresa,Industria,Region,Modalidad,Seniority,Salario,Skills,Exp_minima,Fuente,Notas,Es_Duplicado,ID,Tipo_Rol,skill_SQL,skill_Power_BI,skill_Python,skill_Excel,skill_Tableau,skill_GCP_BigQuery,skill_AWS,skill_Azure,skill_DAX,skill_Machine_Learning,skill_ETL,skill_Looker,skill_Databricks,skill_Scrum,skill_Ingles,skill_IA_GenAI,skill_SAP,skill_R_lang,Seniority_norm,Modalidad_norm
1.0,Data Analyst,Equifax,Tecnología / Datos,"Providencia, RM",Presencial,Semi-Senior,No especificado,"SQL, Python, BigQuery (GCP), Vertex (GCP), Looker Studio, API, RPA (UiPath deseable), Jira, Scrum",3 años,LinkedIn,Pide 3 años exp.,False,1,BI / Analytics,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,Semi-Senior,Presencial
2.0,Analista de Inteligencia de Datos,IKEA (Grupo Falabella),Retail / Logística,"Las Condes, RM",Híbrido,Semi-Senior,No especificado,"SQL (intermedio-avanzado, excluyente), GCP / Azure / AWS, Power BI o BI (no especificado), Inglés intermedio",2 años,LinkedIn,Pide 2 años en BI y Fulfillment. +100 solicitudes.,False,2,BI / Analytics,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,Semi-Senior,Híbrido
3.0,Data Intelligence Analyst,Principal Chile,Servicios Financieros,"Gran Santiago, RM",Híbrido,Junior / Semi-Senior,No especificado,"SQL Server (intermedio-avanzado), Power BI (intermedio-avanzado), Excel, Inglés intermedio-avanzado; deseable: Azure/AWS, Python, Snowflake",0-2 años,LinkedIn,"Acepta 0 exp. Viernes hasta 14:00, 39.5 hrs semanales.",False,3,BI / Analytics,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Junior / Semi-Senior,Híbrido
4.0,Analista de Datos (HR),Grupo Falabella,Retail,"Gran Santiago, RM",Híbrido,Junior,No especificado,"SQL (deseable), Python (deseable), Power BI (deseable); estadística y análisis de datos",1 año,LinkedIn,"Enfocado en datos de RRHH. Skills técnicos solo deseables, no excluyentes.",False,4,BI / Analytics,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junior,Híbrido
5.0,Data Analyst,Groupe SII,Consultoría TI,"Las Condes, RM",Híbrido,Senior,No especificado,"SQL avanzado (excluyente), Tableau (2+ años), ETL/pipelines (3+ años), modelado de datos, AWS/GCP",3+ años,LinkedIn,Muy senior. SQL y Tableau excluyentes con años específicos.,False,5,BI / Analytics,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,Senior,Híbrido
6.0,Analista de Datos Junior / Monitoreo,Tata Consultancy Services,Consultoría TI,"Gran Santiago, RM",Híbrido,Junior,No especificado,"SQL (consultas), Excel intermedio-avanzado, Python, Power BI; deseable: banca/fraudes",No especificada,LinkedIn,Turnos rotativos L-D 08:45-21:00. Ya postulaste. Sector banca/fraude deseable.,False,6,BI / Analytics,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junior,Híbrido
7.0,Data Analyst E-commerce,Tigabytes CL,Consultoría / Google Cloud,"Las Condes, RM",Híbrido,Senior,No especificado,"Power BI avanzado + DAX (excluyente), SQL, GCP/BigQuery (plus), Scrum; ecosistema e-commerce",3+ años,LinkedIn,Proyecto 12 meses. Power BI Expert excluyente. Muy senior.,False,7,BI / Analytics,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,Senior,Híbrido
8.0,Data Analyst,Mallplaza (Grupo Falabella),Retail / Mall,"Huechuraba, RM",Presencial,Junior / Semi-Senior,No especificado,"Excel avanzado, Power BI intermedio, Tableau intermedio; deseable: SQL, IA, Inglés",1 año,LinkedIn,SQL y BI solo deseables. Foco en CX y retail regional. Proceso vía Aira.,False,8,BI / Analytics,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Junior / Semi-Senior,Presencial
9.0,Analista de BI,Empresa Confidencial,Desconocida,"Gran Santiago, RM",Híbrido,Junior / Semi-Senior,No especificado,"Power BI avanzado (excluyente), SQL avanzado (excluyente), DAX y M, automatización con IA (excluyente); deseable: Inglés, Salesforce/Dynamics/Rex+",1 año,LinkedIn,Power BI + SQL + IA excluyentes. DAX requerido. Foco en RRHH/clientes.,False,9,BI / Analytics,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Junior / Semi-Senior,Híbrido
10.0,Analista de Ciencia de Datos,Step Therapy,Salud,"Ñuñoa, RM",Presencial,Junior,No especificado,"Python, SQL, Power BI / Tableau, estadística aplicada, ML (básico)",No especificada,LinkedIn,Sin años de exp. requeridos. ML y salud. Presencial Ñuñoa 08:45-18:00.,False,10,Data Science / ML,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Junior,Presencial
